attraction,region,county,district,cru,category,category_detail,2011_visitors,2012_visitors,2013_visitors,2014_visitors,2015_visitors,charge,charge_band,size
Tolson Memorial Museum,Y&H,WEST YORKSHIRE,Kirklees,Urban,Museums & Art Galleries,Museum and / or Art Gallery,35443,36544,37655,38478,38478,Free,Free,"20,001-50,000"
Crawley Museum Centre,SE,West Sussex,Crawley,Urban,Museums & Art Galleries,Museum and / or Art Gallery,1945,632,585,615,647,Free,Free,"10,000 or less"
"Top Lodge, Fineshade Woods",EM,Northamptonshire,East Northamptonshire,Rural,Country Parks,Country Park,115000,115000,90076,87655,79386,Free,Free,"50,001-100,000"
Topsham Museum,SW,Devon,Exeter,Urban,Museums & Art Galleries,Museum and / or Art Gallery,11500,12098,13212,12046,11000,Free,Free,"10,001-20,000"
Totnes Castle,SW,Devon,South Hams,Rural,Historic Properties,Castle / Fort,18189,16696,18696,19215,16794,Paid,£3.01 to £4.99,"10,001-20,000"
Totnes Fashion and Textile Museum,SW,Devon,South Hams,Urban,Museums & Art Galleries,Museum and / or Art Gallery,1200,850,1000,1010,1015,Paid,Under £3.00,"10,000 or less"
Tower Bridge Exhibition,LON,Greater London,Southwark,Urban,Historic Properties,Historic Monument/ Archaeological Site,491000,507692,595080,646659,786603,Paid,£7.50 to £9.99,"Over 200,000"
Tower of London,LON,Greater London,,Urban,Historic Properties,Castle / Fort,2549401,2444296,2894698,3081939,2785249,Paid,£10.00 or over,"Over 200,000"
Town Walls Tower,WM,Shropshire,Shropshire,Urban,Historic Properties,Historic Monument / Archaeological Site,1090,1344,1454,1500,1500,Paid,Under £3.00,"10,000 or less"
Towneley Hall Art Gallery and Museum,NW,Lancashire,Burnley,Urban,Museums & Art Galleries,Museum and / or Art Gallery,62066,50000,60500,70000,70000,Paid,£3.01 to £4.99,"50,001-100,000"
Towneley Park,NW,Lancashire,Burnley,Rural,Museums & Art Galleries,Museum and / or Art Gallery,62066,50000,55099,64000,62000,Paid,£3.01 to £4.99,"50,001-100,000"
Treasurer's House,Y&H,NORTH YORKSHIRE,York,Urban,Historic Properties,Historic House / House and Garden / Palace,73952,71113,54574,50711,50122,Paid,£7.50 to £9.99,"50,001-100,000"
Trebah Garden,SW,Cornwall,Cornwall,Coastal,Gardens,Garden,97389,96010,102180,109489,116053,Paid,Charge - DK,"100,001-200,000"
Trelissick Gardens,SW,Cornwall,Cornwall,Coastal,Gardens,Garden,125377,124597,127536,148798,168000,Paid,£7.50 to £9.99,"100,001-200,000"
Trengwainton Garden,SW,Cornwall,Cornwall,Rural,Gardens,Garden,54674,51028,51343,54137,60780,Paid,£5.00 to £7.49,"50,001-100,000"
Trereife House,SW,Cornwall,Cornwall,Coastal,Historic Properties,Historic House / House and Garden / Palace,3987,4590,5090,5000,4500,Paid,£5.00 to £7.49,"10,000 or less"
Trewithen Gardens,SW,Cornwall,Cornwall,Rural,Historic Properties,Historic House / House and Garden / Palace,8900,9130,9965,6235,6967,Paid,£7.50 to £9.99,"10,000 or less"
Tropical Birdland,EM,Leicestershire,Hinckley and Bosworth,Rural,Wildlife,Safari Park / Zoo / Aquarium / Aviary,40000,40000,28000,30000,34000,Paid,£5.00 to £7.49,"20,001-50,000"
Tropical World at Roundhay Park,Y&H,WEST YORKSHIRE,Leeds,Urban,Gardens,Garden,297415,318719,331957,316566,358980,Paid,£5.00 to £7.49,"Over 200,000"
Trowbridge Museum,SW,Wiltshire,Wiltshire,Rural,Museums & Art Galleries,Museum and / or Art Gallery,21291,21084,20000,26300,27000,Free,Free,"20,001-50,000"
Tudor House & Garden Museum,SE,Hampshire,Southampton,Urban,Museums & Art Galleries,Museum and / or Art Gallery,21340,25677,26300,18599,19465,Paid,£3.01 to £4.99,"10,001-20,000"
Tullie House Museum and Art Gallery,NW,Cumbria,Carlisle,Urban,Museums & Art Galleries,Museum and / or Art Gallery,246349,232389,254666,276830,230225,Paid,£7.50 to £9.99,"Over 200,000"
Twickenham Museum,LON,Greater London,Richmond upon Thames,Urban,Museums & Art Galleries,Museum and / or Art Gallery,3948,3523,3667,3915,3211,Free,Free,"10,000 or less"
Tynemouth Priory and Castle,NE,Tyne and Wear,North Tyneside,Coastal,Historic Properties,Castle / Fort,18906,17519,18739,23532,24061,Paid,£3.01 to £4.99,"20,001-50,000"
Tyntesfield,SW,Somerset,North Somerset,Rural,Historic Properties,Historic House / House and Garden / Palace,205422,189329,220318,225501,267000,Paid,£10.00 or over,"Over 200,000"
Ullswater Steamers,NW,Cumbria,Eden,Rural,Other,Other Historic / Scenic transport operator,353611,345422,367722,377243,385872,Paid,£10.00 or over,"Over 200,000"
University of Liverpool Art Gallery,NW,Merseyside,Liverpool,Urban,Museums & Art Galleries,Museum and / or Art Gallery,47003,51044,47665,51453,64614,Free,Free,"50,001-100,000"
Upminster Windmill,LON,GREATER LONDON,Havering,Urban,Historic Properties,Other Historic Property,2212,2343,2314,2550,2000,Free,Free,"10,000 or less"
Uppark House and Garden,SE,West Sussex,Chichester,Rural,Historic Properties,Historic House / House and Garden / Palace,59004,58786,52854,57931,62000,Paid,£10.00 or over,"50,001-100,000"
Upton House,WM,Warwickshire,Stratford-on-Avon,Rural,Historic Properties,Historic House / House and Garden / Palace,103768,86497,104656,101661,111822,Paid,£10.00 or over,"100,001-200,000"
Upton Wood,SW,Dorset,Purbeck,Urban,Other,Other,23000,25000,25000,30000,30000,Free,Free,"20,001-50,000"
Upwood Meadows,EAST,Cambridgeshire,Huntingdonshire,Rural,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,4000,4000,4000,3000,3000,Free,Free,"10,000 or less"
Valley Farm Camargue Horses,EAST,Suffolk,Suffolk Coastal,Rural,Farms,Farm / Rare Breeds / Farm Animals,230,300,300,400,400,Paid,Under £3.00,"10,000 or less"
Ventnor Heritage Museum,SE,Isle of Wight,Isle of Wight,Coastal,Visitor Centres,Heritage / Visitor Centre,1366,1110,1232,1000,1777,Paid,Under £3.00,"10,000 or less"
Victoria and Albert Museum,LON,Greater London,Kensington and Chelsea,Urban,Museums & Art Galleries,Museum and / or Art Gallery,2789400,3231700,3738434,3651450,3888374,Free,Free,"Over 200,000"
Victoria Art Gallery,SW,Somerset,Bath and North East Somerset,Urban,Museums & Art Galleries,Museum and / or Art Gallery,110500,103275,94417,90636,132015,Paid,£3.01 to £4.99,"100,001-200,000"
Victoria Baths,NW,Greater Manchester,Manchester,Urban,Historic Properties,Other Historic Property,17012,17307,23514,26203,26318,Paid,Under £3.00,"20,001-50,000"
Waddesdon Manor,SE,Buckinghamshire,Aylesbury Vale,Rural,Historic Properties,Historic House / House and Garden / Palace,337150,327771,393401,366916,390129,Paid,£10.00 or over,"Over 200,000"
Wadworth Shire Horses,SW,Wiltshire,Wiltshire,Urban,Farms,Farm / Rare Breeds / Farm Animals,10000,15000,20000,21000,19000,Paid,£10.00 or over,"10,001-20,000"
Wadworth Visitor Centre,SW,Wiltshire,Wiltshire,Urban,Visitor Centres,Heritage / Visitor Centre,21000,21019,22786,19000,19000,Paid,£10.00 or over,"10,001-20,000"
Wakefield Museum,Y&H,West Yorkshire,Wakefield,Urban,Museums & Art Galleries,Museum and / or Art Gallery,26789,28000,29055,34632,38385,Free,Free,"20,001-50,000"
Wakehurst Place,SE,West Sussex,Mid Sussex,Rural,Historic Properties,Historic House / House and Garden / Palace,414223,347073,335439,228559,251949,Paid,£10.00 or over,"Over 200,000"
Walford Mill Crafts,SW,Dorset,,Rural,Museums & Art Galleries,Museum and / or Art Gallery,37000,35000,34000,32000,30000,Free,Free,"20,001-50,000"
Walker Art Gallery,NW,Merseyside,Liverpool,Urban,Museums & Art Galleries,Museum and / or Art Gallery,240376,337799,237451,252042,240531,Free,Free,"Over 200,000"
Walkherefdordshire.com,WM,Herefordshire,Herefordshire,Rural,Other,Other,300,100,150,400,540,Paid,Charge - DK,"10,000 or less"
Wallace Collection,LON,GREATER LONDON,Westminster,Urban,Museums & Art Galleries,Museum and / or Art Gallery,374340,361368,413432,410233,440432,Free,Free,"Over 200,000"
"Wallington House, Gardens & Estate",NE,Northumberland,Northumberland,Rural,Historic Properties,Historic House / House and Garden / Palace,217197,192130,184812,202457,216628,Paid,£10.00 or over,"Over 200,000"
Walmer Castle & Gardens,SE,Kent,Dover,Coastal,Historic Properties,Castle / Fort,69723,62518,68014,77828,76822,Paid,£7.50 to £9.99,"50,001-100,000"
Kilpeck Church (Church of St David and St Mary),WM,HEREFORDSHIRE,Herefordshire,Rural,Places of Worship,Place of Worship (still in use),6500,6000,5000,900,1200,Free,Free,"10,000 or less"
Walsingham Abbey Grounds,EAST,Norfolk,North Norfolk,Rural,Historic Properties,Other Historic Property,21500,23000,25039,25773,31001,Paid,£3.01 to £4.99,"20,001-50,000"
Waltham Windmill,EM,Lincolnshire,North East Lincolnshire,Rural,Visitor Centres,Heritage / Visitor Centre,17666,18466,13455,9088,3050,Paid,Under £3.00,"10,000 or less"
Wandlebury Country Park,EAST,Cambridgeshire,South Cambridgeshire,Rural,Country Parks,Country Park,85000,87500,90000,100000,100000,Paid,Charge - DK,"50,001-100,000"
Wansbeck Riverside Park,NE,Northumberland,Northumberland,Urban,Country Parks,Country Park,20000,20000,20000,20000,20000,Free,Free,"10,001-20,000"
Wareham Town Museum,SW,Dorset,Purbeck,Urban,Museums & Art Galleries,Museum and / or Art Gallery,7098,7154,7372,7500,7800,Free,Free,"10,000 or less"
Warkworth Castle,NE,Northumberland,Northumberland,Coastal,Historic Properties,Castle / Fort,48288,43950,45553,46462,54981,Paid,£5.00 to £7.49,"50,001-100,000"
Warminster Dewey Museum,SW,Wiltshire,Wiltshire,Rural,Museums & Art Galleries,Museum and / or Art Gallery,14000,13500,12000,10135,11128,Free,Free,"10,001-20,000"
Washington F Pit (Seasonal),NE,Tyne and Wear,Sunderland,Urban,Workplace,Industrial / Craft Workplace,1290,1126,1022,1044,1373,Free,Free,"10,000 or less"
Washington Old Hall,NE,Tyne and Wear,Sunderland,Urban,Historic Properties,Historic House / House and Garden / Palace,17880,16000,15360,16760,11885,Paid,£5.00 to £7.49,"10,001-20,000"
Wassand Hall & Gardens,Y&H,East Riding of Yorkshire,East Riding of Yorkshire,Rural,Historic Properties,Historic House / House and Garden / Palace,1320,1650,1700,2000,2500,Paid,£5.00 to £7.49,"10,000 or less"
Watchet Market House Museum,SW,Somerset,West Somerset,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,37400,33191,32741,30403,32142,Free,Free,"20,001-50,000"
Watercress Line,SE,Hampshire,Alresford,Rural,Railways,Steam / Heritage Railway,115000,120000,124000,118000,120000,Paid,£10.00 or over,"100,001-200,000"
Watermouth Castle,SW,Devon,North Devon,Coastal,Leisure / Theme Parks,Leisure / Theme Park,90000,85000,90000,95000,95000,Paid,£10.00 or over,"50,001-100,000"
Watts Gallery,SE,Surrey,Guildford,Urban,Museums & Art Galleries,Museum and / or Art Gallery,29000,31000,31988,28754,34415,Paid,£7.50 to £9.99,"20,001-50,000"
Wave 7 Gallery,SW,Cornwall,Cornwall,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,2500,3000,4000,5000,4500,Free,Free,"10,000 or less"
Weavers' Cottage,NW,Lancashire,Rossendale,Urban,Visitor Centres,Heritage / Visitor Centre,486,574,596,554,596,Free,Free,"10,000 or less"
Wellesbourne Wartime Museum,WM,Warwickshire,Stratford-on-Avon,Rural,Museums & Art Galleries,Museum and / or Art Gallery,1250,1500,1750,1900,1800,Paid,Under £3.00,"10,000 or less"
Wellingborough Museum,EM,Northamptonshire,Wellingborough,Urban,Museums & Art Galleries,Museum and / or Art Gallery,31642,31088,36758,37375,38388,Free,Free,"20,001-50,000"
Wellington Arch,LON,Greater London,Westminster,Urban,Historic Properties,Historic Monument/ Archaeological Site,37258,21990,43175,48035,49307,Paid,£3.01 to £4.99,"20,001-50,000"
Wellington Museum,SW,Somerset,Taunton Deane,Urban,Museums & Art Galleries,Museum and / or Art Gallery,3076,2691,2502,2500,2500,Free,Free,"10,000 or less"
Wells and Walsingham Light Railway,EAST,Norfolk,North Norfolk,Coastal,Railways,Steam / Heritage Railway,25000,35000,45000,50000,55000,Paid,£7.50 to £9.99,"50,001-100,000"
Ifield Watermill,SE,West Sussex,Crawley,Urban,Museums & Art Galleries,Museum and / or Art Gallery,1487,973,805,517,632,Free,Free,"10,000 or less"
Weoley Castle,WM,West Midlands,Birmingham,Urban,Historic Properties,Historic Monument / Archaeological Site,1706,7449,6221,8262,5205,Free,Free,"10,000 or less"
St Laurence Church,NE,County Durham,Durham,Rural,Places of Worship,Place of Worship (still in use),500,500,500,500,500,Free,Free,"10,000 or less"
West Midland Safari & Leisure Park,WM,Worcestershire,Wyre Forest,Rural,Leisure / Theme Parks,Leisure / Theme Park,650000,650000,650000,650000,700000,Paid,£10.00 or over,"Over 200,000"
West Somerset Railway,SW,Somerset,West Somerset,Coastal,Railways,Steam / Heritage Railway,209000,197376,197652,195278,182764,Paid,£10.00 or over,"100,001-200,000"
West Wycombe Park,SE,Buckinghamshire,Wycombe,Rural,Historic Properties,Historic House / House and Garden / Palace,16094,31728,19276,18500,15000,Paid,£10.00 or over,"10,001-20,000"
Westbury Court Garden,SW,Gloucestershire,Forest of Dean,Rural,Gardens,Garden,19741,19472,18109,15646,18246,Paid,£5.00 to £7.49,"10,001-20,000"
Westbury Visitor Centre,SW,Wiltshire,Wiltshire,Rural,Visitor Centres,Heritage / Visitor Centre,8000,9000,9563,9498,8240,Free,Free,"10,000 or less"
Newbiggin Methodist Chapel,NE,County Durham,,Rural,Places of Worship,Place of Worship (still in use),300,300,350,342,350,Free,Free,"10,000 or less"
Weston Park,WM,Staffordshire,South Staffordshire,Rural,Historic Properties,Historic House / House and Garden / Palace,247577,258067,243897,212000,245246,Paid,£5.00 to £7.49,"Over 200,000"
"Westonbirt, The National Arboretum",SW,Gloucestershire,Cotswold,Rural,Country Parks,Country Park,282445,248799,265630,310000,369274,Paid,£7.50 to £9.99,"Over 200,000"
Weston's Cider - Cider Mill Tours,WM,Herefordshire,Herefordshire,Rural,Workplace,Distillery / Vineyard or Brewery,48000,45000,45000,44500,45000,Paid,£7.50 to £9.99,"20,001-50,000"
Wheal Martyn China Clay Country Park,SW,Cornwall,Cornwall,Rural,Visitor Centres,Heritage / Visitor Centre,30000,300000,21000,20000,21000,Paid,Charge - DK,"20,001-50,000"
Whinlatter Forest & Visitor Centre,NW,Cumbria,Allerdale,Rural,Visitor Centres,Heritage / Visitor Centre,220000,220000,159731,184219,184140,Free,Free,"100,001-200,000"
Whipple Museum of the History of Science,EAST,CAMBRIDGESHIRE,Cambridge,Urban,Museums & Art Galleries,Museum and / or Art Gallery,10429,11050,11957,13283,15974,Free,Free,"10,001-20,000"
Whitby Abbey,Y&H,North Yorkshire,Scarborough,Coastal,Historic Properties,Historic Monument/ Archaeological Site,118946,112267,126689,135910,146277,Paid,£5.00 to £7.49,"100,001-200,000"
Whitby's Old Lifeboat,Y&H,NORTH YORKSHIRE,Scarborough,Coastal,Other,Other,6000,6000,9000,10000,10000,Free,Free,"10,000 or less"
Whitchurch Silk Mill,SE,Hampshire,Basingstoke and Deane,Rural,Historic Properties,Other Historic Property,10450,10197,18939,21826,22018,Paid,£3.01 to £4.99,"20,001-50,000"
White Mill,SW,Dorset,East Dorset,Rural,Historic Properties,Other Historic Property,4228,4668,2521,2641,2501,Paid,Charge - DK,"10,000 or less"
Whitmore Hall,WM,Staffordshire,Newcastle-under-Lyme,Rural,Historic Properties,Historic House / House and Garden / Palace,256,454,422,363,417,Paid,£5.00 to £7.49,"10,000 or less"
Whitstable Museum and Gallery,SE,Kent,Canterbury,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,11823,11937,14252,4556,1744,Paid,Under £3.00,"10,000 or less"
Whitworth Hall Country Park,NE,County Durham,Durham,Rural,Country Parks,Country Park,2500,3000,3500,5600,6000,Free,Free,"10,000 or less"
Wicken Fen National Nature Reserve,EAST,Cambridgeshire,East Cambridgeshire,Rural,Wildlife,Nature Reserve / Wetlands / Wildlife Trips,51170,50000,49000,48456,55334,Paid,£5.00 to £7.49,"50,001-100,000"
Wicklewood Windmill,EAST,Norfolk,Norwich,Rural,Historic Properties,Other Historic Property,550,600,662,321,276,Paid,Under £3.00,"10,000 or less"
Wicksteed Park,EM,Northamptonshire,Kettering,Urban,Leisure / Theme Parks,Leisure / Theme Park,450000,380000,350000,330000,360000,Paid,£10.00 or over,"Over 200,000"
Wigston Framework Knitters Museum,EM,Leicestershire,Oadby and Wigston,Urban,Museums & Art Galleries,Museum and / or Art Gallery,1000,1000,1000,900,900,Paid,£3.01 to £4.99,"10,000 or less"
Wilberforce House,Y&H,East Riding of Yorkshire,Kingston upon Hull,Urban,Museums & Art Galleries,Museum and / or Art Gallery,34233,32307,36703,46552,43722,Free,Free,"20,001-50,000"
Willsbridge Mill,SW,Gloucestershire,South Gloucestershire,Urban,Visitor Centres,Heritage / Visitor Centre,9000,9100,9400,9500,10000,Free,Free,"10,000 or less"
Wimbledon Lawn Tennis Museum,LON,Greater London,Merton,Urban,Museums & Art Galleries,Museum and / or Art Gallery,77917,70098,93552,90287,91272,Paid,£10.00 or over,"50,001-100,000"
Wimbledon Windmill Museum,LON,GREATER LONDON,Wandsworth,Urban,Museums & Art Galleries,Museum and / or Art Gallery,5545,4961,4452,4100,3400,Paid,Under £3.00,"10,000 or less"
Wimpole Hall and Home Farm,EAST,Cambridgeshire,South Cambridgeshire,Rural,Historic Properties,Historic House / House and Garden / Palace,262100,243770,133722,131035,151953,Paid,£10.00 or over,"100,001-200,000"
Winchcombe Folk and Police Museum,SW,Gloucestershire,Tewkesbury,Urban,Museums & Art Galleries,Museum and / or Art Gallery,2032,2511,2329,1039,1614,Paid,Under £3.00,"10,000 or less"
Winchester City Mill & Shop,SE,Hampshire,Winchester,Urban,Museums & Art Galleries,Museum and / or Art Gallery,38063,39477,40647,42193,44677,Paid,£3.01 to £4.99,"20,001-50,000"
"Windermere Lake Cruises, Bowness",NW,Cumbria,South Lakeland,Rural,Other,Other Historic / Scenic transport operator,1350081,1247698,1411995,1469189,1482899,Paid,£7.50 to £9.99,"Over 200,000"
Wingfield Manor,EM,Derbyshire,Amber Valley,Rural,Historic Properties,Historic House / House and Garden / Palace,275,196,307,242,392,Paid,£5.00 to £7.49,"10,000 or less"
Wingz Bird Sanctuary,SW,Cornwall,Cornwall,Rural,Wildlife,Safari Park / Zoo / Aquarium / Aviary,3600,6700,7677,8000,8000,Paid,£5.00 to £7.49,"10,000 or less"
Winkworth Arboretum,SE,Surrey,Waverley,Rural,Gardens,Garden,97278,102707,101275,107000,113079,Paid,£7.50 to £9.99,"100,001-200,000"
Wirral Tramway & Wirral Transport Museum,NW,Merseyside,Wirral,Urban,Museums & Art Galleries,Museum and / or Art Gallery,6700,6900,7100,7407,10138,Free,Free,"10,001-20,000"
Wisbech & Fenland Museum,EAST,Cambridgeshire,Fenland,Urban,Museums & Art Galleries,Museum and / or Art Gallery,12640,13058,12195,12918,12552,Free,Free,"10,001-20,000"
Withernsea Lighthouse Museum,Y&H,East Riding of Yorkshire,Withernsea,Coastal,Museums & Art Galleries,Museum and / or Art Gallery,8500,8600,8671,10063,10908,Paid,Charge - DK,"10,001-20,000"
Witley Court & Gardens (English Heritage),WM,Worcestershire,Malvern Hills,Rural,Historic Properties,Historic House / House and Garden / Palace,49969,37430,56775,60046,63228,Paid,£5.00 to £7.49,"50,001-100,000"
Stocks Mill,SE,Kent,Ashford,Rural,Historic Properties,Other Historic Property,126,119,188,125,158,Free,Free,"10,000 or less"
